GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BadIceCream,badIceCream.controller.game.monsters,DefaultMovement,137,0,20,0,25,0,16,0,6,0
BadIceCream,badIceCream.controller.game.monsters,RunnerMovementDisabled,137,0,20,0,25,0,16,0,6,0
BadIceCream,badIceCream.controller.game.monsters,JumperMovement,137,0,20,0,25,0,16,0,6,0
BadIceCream,badIceCream.controller.game.monsters,WallBreakerMovement,144,0,22,0,27,0,17,0,6,0
BadIceCream,badIceCream.model.game.arena,Arena,678,0,99,0,154,0,84,0,31,0
BadIceCream,badIceCream.model.game.arena,LoaderArenaBuilder,389,0,50,0,53,0,35,0,10,0
BadIceCream,badIceCream.model.game.arena,ArenaBuilder,37,0,0,0,9,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.fruits,BananaFruit,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.fruits,PineappleFruit,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.fruits,Fruit,5,0,0,0,2,0,1,0,1,0
BadIceCream,badIceCream.model.game.elements.fruits,CherryFruit,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.fruits,StrawberryFruit,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.fruits,AppleFruit,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.monsters,DefaultMonster,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.monsters,Monster,23,0,0,0,10,0,6,0,6,0
BadIceCream,badIceCream.model.game.elements.monsters,WallBreakerMonster,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.monsters,JumperMonster,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements.monsters,RunnerMonster,15,0,0,0,5,0,4,0,4,0
BadIceCream,badIceCream.utils,Type,33,0,0,0,6,0,1,0,1,0
BadIceCream,badIceCream.utils,Node,27,0,0,0,7,0,2,0,2,0
BadIceCream,badIceCream.utils,ShortestPathNextMove,163,0,14,0,25,0,10,0,3,0
BadIceCream,badIceCream.states,InstructionsMenuSecondPageState,20,0,0,0,4,0,2,0,2,0
BadIceCream,badIceCream.states,MenuState,0,7,0,0,0,2,0,1,0,1
BadIceCream,badIceCream.states,SelectLevelMenuState,20,0,0,0,4,0,2,0,2,0
BadIceCream,badIceCream.states,PauseMenuState,21,0,0,0,4,0,2,0,2,0
BadIceCream,badIceCream.states,GameState,42,0,0,0,4,0,2,0,2,0
BadIceCream,badIceCream.states,LevelCompletedMenuState,20,0,0,0,4,0,2,0,2,0
BadIceCream,badIceCream.states,GameOverMenuState,20,0,0,0,4,0,2,0,2,0
BadIceCream,badIceCream.states,InstructionsMenuFirstPageState,20,0,0,0,4,0,2,0,2,0
BadIceCream,badIceCream.states,State,36,15,2,0,11,6,6,1,5,1
BadIceCream,badIceCream.states,MainMenuState,7,13,0,0,2,2,1,1,1,1
